S.No,Category,Main tag,Sub tag,Main tag 2,Sub tag 2,Main tag 2,Sub tag 2,Sub category,Sub category-2,,Title,Upload time(in yrs),Length ( min rounder to next minute),Views(In K rounded to '000s),Likes ( In K rounded to next),Singer/Narrator,Lable/Owner/YT channel,Link,Comment,,,Main tag,Sub tag,Category,Sub Category,Sub Category-2,Sub category-3,Singer,Lable
29,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,मेरे बृज की माटी चन्दन है,20,8,1943,17,male,Shree Jee Bhakti,https://www.youtube.com/watch?v=xowjQ-6wymA,,,,,,,,,,Amitabh Bachchan,
30,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Shree Krishna Govind Hare Murari | Krishna Bhajan | Maanya Arora | Divine Chants,18,6,37549,436,Maanya Arora,other,https://www.youtube.com/watch?v=SszSt0o_UQI,,,,,,,,,,hansraj,
31,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Collection of bhajans,,टॉप 10 राधा कृष्ण भजन,21,74,227,2.8,female,other,https://www.youtube.com/watch?v=tZZeF7x7tOA,,,,,,,,,,mix,
32,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Collection of bhajans,,Non-Stop Best Krishna Special Bhajans,18,92,2182,17,male,other,https://www.youtube.com/watch?v=a8DSMrqNKD8,,,,,,,,,,sonu nigam,
33,Song,Krishna bhajan,Bhajan,,,,,Short < 5Min,Bhajan,,Ram Siya Ram (Full Song) Sachet Tandon | Poonam Thakkar | Shabbir Ahmed | Sidhika Sharma | T-Series,21,4,11733,208,Sachet Tandon,T-series,https://www.youtube.com/watch?v=txXXRMfp12w,,,,,,,,,,anup jalota,
34,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,ऐसी लागी लगन मीरा हो गई मगन - जावेद अली | Aisi Lagi Lagan with Lyrics,18,9,34831,293,male,Sheemaro,https://www.youtube.com/watch?v=dnCE-kSHES0,,,,,,,,,,Sanjay Mittal,
35,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Radha Dhoondh Rahi | राधा ढूंढ़ रही,13,6,14578,23,female,other,https://www.youtube.com/watch?v=5bCBKfdNIdI,,,,,,,,,,,
36,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Teri Murli Ki Dhun,20,8,2789,30,male,other,https://www.youtube.com/watch?v=xTQjsa6lFao,Singer - Ajay Goyal 740446444 Lyrics Surender Singal 9416128475 Music: Binny Narang (9991980610) Video: Shalini Sharma (7015960610) Category: Hindi Devotional (Shyam Bhajan),,,,,,,,,,
37,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Radhe Radhe - राधे राधे - official music video | hansraj Raghuwanshi | Mista Baaz | iSur,20,7,60038,906,hansraj,hansraj,https://www.youtube.com/watch?v=OXm4-3Er8po,,,,,,,,,,,
38,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Shyam Se Nata,18,10,10244,58,Sanjay Mittal,other,https://www.youtube.com/watch?v=674eEL32NSA,,,,,,,,,,,
39,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Hari Naam Ki Mala,20,9,15329,87,male,other,https://www.youtube.com/watch?v=kUGVy9yO1F8,Ravi Raj (8286802175),,,,,,,,,,
40,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,Rahda Rahda Dhun,16,17,4609,23,male,Vipul Music,https://www.youtube.com/watch?v=2-ZEno233UU,,,,,,,,,,,
41,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,BADA NATKHAT HAI RE KRISHNA KANHAIYA,16,53,15102,121,male,other,https://www.youtube.com/watch?v=qk0KM8MIrdk,,,,,,,,,,,
42,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,अधरम मधुरम वदनम मधुरम,19,32,47,1,male,other,https://www.youtube.com/watch?v=ykwb-r40-Cs&list=PLM3TSQaW_spNVcDLOx38tDkvctA2l4-aj&index=13,,,,,,,,,,,
43,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Collection of bhajans,,Top Shri Krishna Bhajans ( Full Songs ) || Yashomati Maiya Se Bole Nandlala || Ghat Ma Girdhari,14,80,9087,31,female,other,https://www.youtube.com/watch?v=9RjFWdoiWtw,,,,,,,,,,,
44,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Collection of bhajans,,NON STOP BEST KRISHNA BHAJANS - BEAUTIFUL COLLECTION OF MOST POPULAR SHRI KRISHNA SONGS,17,44,84131,439,male,other,https://www.youtube.com/watch?v=iW16WWmWZL4,,,,,,,,,,,
